query	/users/yp_wei/wcoj_by_sql/queries/1.sql
dataset	topcats
load_and_degree_seconds	4.968465
exact_profile_collection_seconds	0.011641
fixed_R1_R3_candidates	2112368511
fixed_R1_R2_candidates	2662974839
exact_split_candidates	779094625
exact_validation_seconds	1.129176
p	t=1/r	r	s	upper_bound
0.333333333	0.25	4	1.33333333	2636088055.95
0.333333333	0.3	3.33333333	1.42857143	2510585774.47
0.333333333	0.35	2.85714286	1.53846154	2450944928.95
0.333333333	0.4	2.5	1.66666667	2436037798.51
0.333333333	0.45	2.22222222	1.81818182	2455690180.05
0.333333333	0.5	2	2	2506113168.04
0.333333333	0.55	1.81818182	2.22222222	2587981477.15
0.333333333	0.6	1.66666667	2.5	2706149348.48
0.333333333	0.65	1.53846154	2.85714286	2870901035.89
0.333333333	0.7	1.42857143	3.33333333	3101828656.03
0.333333333	0.75	1.33333333	4	3438597601.47
0.333333333	0.8	1.25	5	3974335748.52
0.333333333	0.85	1.17647059	6.66666667	4960423591.41
0.333333333	0.9	1.11111111	10	6971961404.06
0.333333333	0.95	1.05263158	20	11164357155
0.35	0.05	20	1.05263158	5697426977.38
0.35	0.1	10	1.11111111	4225053649.36
0.35	0.15	6.66666667	1.17647059	3411958133.26
0.35	0.2	5	1.25	2947362704.25
0.35	0.25	4	1.33333333	2681594748.73
0.35	0.3	3.33333333	1.42857143	2532633639.78
0.35	0.35	2.85714286	1.53846154	2455602012.74
0.35	0.4	2.5	1.66666667	2426860117.2
0.35	0.45	2.22222222	1.81818182	2434578099.02
0.35	0.5	2	2	2473818640.62
0.35	0.55	1.81818182	2.22222222	2544338850.22
0.35	0.6	1.66666667	2.5	2650081491.32
0.35	0.65	1.53846154	2.85714286	2800165167.06
0.35	0.7	1.42857143	3.33333333	3012281824.47
0.35	0.75	1.33333333	4	3322229374.58
0.35	0.8	1.25	5	3813642839.68
0.35	0.85	1.17647059	6.66666667	4714759736.06
0.35	0.9	1.11111111	10	6570029671.59
0.35	0.95	1.05263158	20	10443076566.9
0.4	0.05	20	1.05263158	6745158796.19
0.4	0.1	10	1.11111111	4903828121.92
0.4	0.15	6.66666667	1.17647059	3857902275.73
0.4	0.2	5	1.25	3236919827.88
0.4	0.25	4	1.33333333	2861791719.96
0.4	0.3	3.33333333	1.42857143	2635058792.59
0.4	0.35	2.85714286	1.53846154	2500755962.37
0.4	0.4	2.5	1.66666667	2427326022.14
0.4	0.45	2.22222222	1.81818182	2397563980.47
0.4	0.5	2	2	2402803937.97
0.4	0.55	1.81818182	2.22222222	2439929572.34
0.4	0.6	1.66666667	2.5	2510211401.12
0.4	0.65	1.53846154	2.85714286	2619591396.46
0.4	0.7	1.42857143	3.33333333	2780880542.69
0.4	0.75	1.33333333	4	3020313313.03
0.4	0.8	1.25	5	3398215741.23
0.4	0.85	1.17647059	6.66666667	4082388444.91
0.4	0.9	1.11111111	10	5527487371.65
0.4	0.95	1.05263158	20	8591837607.38
0.45	0.05	20	1.05263158	8022965321.74
0.45	0.1	10	1.11111111	5739006698.75
0.45	0.15	6.66666667	1.17647059	4416228630.16
0.45	0.2	5	1.25	3613145307.13
0.45	0.25	4	1.33333333	3111475703.91
0.45	0.3	3.33333333	1.42857143	2794462200.75
0.45	0.35	2.85714286	1.53846154	2594042016.04
0.45	0.4	2.5	1.66666667	2470082103.01
0.45	0.45	2.22222222	1.81818182	2399375626.5
0.45	0.5	2	2	2369056543.98
0.45	0.55	1.81818182	2.22222222	2372880837.1
0.45	0.6	1.66666667	2.5	2409438605.97
0.45	0.65	1.53846154	2.85714286	2481815803.97
0.45	0.7	1.42857143	3.33333333	2598863923.28
0.45	0.75	1.33333333	4	2779619890.83
0.45	0.8	1.25	5	3067391903.72
0.45	0.85	1.17647059	6.66666667	3582502992.8
0.45	0.9	1.11111111	10	4691951569.84
0.45	0.95	1.05263158	20	7125650561.04
0.5	0.05	20	1.05263158	9584733217.28
0.5	0.1	10	1.11111111	6764228267.62
0.5	0.15	6.66666667	1.17647059	5107516377.17
0.5	0.2	5	1.25	4088162768
0.5	0.25	4	1.33333333	3438281743.15
0.5	0.3	3.33333333	1.42857143	3015910490.07
0.5	0.35	2.85714286	1.53846154	2738655135.5
0.5	0.4	2.5	1.66666667	2556782406.9
0.5	0.45	2.22222222	1.81818182	2440351761.01
0.5	0.5	2	2	2371747076.63
0.5	0.55	1.81818182	2.22222222	2341249593.36
0.5	0.6	1.66666667	2.5	2344643516.12
0.5	0.65	1.53846154	2.85714286	2382307009.25
0.5	0.7	1.42857143	3.33333333	2459737199.34
0.5	0.75	1.33333333	4	2590431309.33
0.5	0.8	1.25	5	2805335052.84
0.5	0.85	1.17647059	6.66666667	3188992245.62
0.5	0.9	1.11111111	10	4024498449.94
0.5	0.95	1.05263158	20	5957615063.42
0.55	0.05	20	1.05263158	11499075835.5
0.55	0.1	10	1.11111111	8023029155.63
0.55	0.15	6.66666667	1.17647059	5959744686.55
0.55	0.2	5	1.25	4679541878.84
0.55	0.25	4	1.33333333	3853526151.98
0.55	0.3	3.33333333	1.42857143	3307035440.41
0.55	0.35	2.85714286	1.53846154	2939768105.9
0.55	0.4	2.5	1.66666667	2690739826.7
0.55	0.45	2.22222222	1.81818182	2522303517.75
0.55	0.5	2	2	2411417405.69
0.55	0.55	1.81818182	2.22222222	2344436666.51
0.55	0.6	1.66666667	2.5	2314102886.93
0.55	0.65	1.53846154	2.85714286	2318089143.49
0.55	0.7	1.42857143	3.33333333	2358897763.88
0.55	0.75	1.33333333	4	2445611071.72
0.55	0.8	1.25	5	2600139784.04
0.55	0.85	1.17647059	6.66666667	2881076039.24
0.55	0.9	1.11111111	10	3495459037.53
0.55	0.95	1.05263158	20	5021396490.09
0.6	0.05	20	1.05263158	13853335721.1
0.6	0.1	10	1.11111111	9571310575.19
0.6	0.15	6.66666667	1.17647059	7009601317.78
0.6	0.2	5	1.25	5411238809.52
0.6	0.25	4	1.33333333	4373041743.67
0.6	0.3	3.33333333	1.42857143	3678656922.5
0.6	0.35	2.85714286	1.53846154	3204935878.95
0.6	0.4	2.5	1.66666667	2877176382.22
0.6	0.45	2.22222222	1.81818182	2648662990.32
0.6	0.5	2	2	2490055457.07
0.6	0.55	1.81818182	2.22222222	2383199492.43
0.6	0.6	1.66666667	2.5	2317440732.8
0.6	0.65	1.53846154	2.85714286	2287618298.35
0.6	0.7	1.42857143	3.33333333	2293401567.24
0.6	0.75	1.33333333	4	2340179800.04
0.6	0.8	1.25	5	2443119917.89
0.6	0.85	1.17647059	6.66666667	2642512164.65
0.6	0.9	1.11111111	10	3081732427.98
0.6	0.95	1.05263158	20	4266897894.24
0.65	0.05	20	1.05263158	16758927839.3
0.65	0.1	10	1.11111111	11480747818.5
0.65	0.15	6.66666667	1.17647059	8304547229.08
0.65	0.2	5	1.25	6314941582.03
0.65	0.25	4	1.33333333	5018214379.43
0.65	0.3	3.33333333	1.42857143	4145577002.74
0.65	0.35	2.85714286	1.53846154	3544659767.15
0.65	0.4	2.5	1.66666667	3123609343.67
0.65	0.45	2.22222222	1.81818182	2824744707.17
0.65	0.5	2	2	2611267437.94
0.65	0.55	1.81818182	2.22222222	2459754322.76
0.65	0.6	1.66666667	2.5	2355667963.2
0.65	0.65	1.53846154	2.85714286	2290755654.34
0.65	0.7	1.42857143	3.33333333	2261847801.37
0.65	0.75	1.33333333	4	2271052136.01
0.65	0.8	1.25	5	2328295817.63
0.65	0.85	1.17647059	6.66666667	2461088460.82
0.65	0.9	1.11111111	10	2764297658.04
0.65	0.95	1.05263158	20	3656869269.83
0.666666667	0.05	20	1.05263158	17873554576.7
0.666666667	0.1	10	1.11111111	12212694795.5
0.666666667	0.15	6.66666667	1.17647059	8800767021.59
0.666666667	0.2	5	1.25	6661219699.68
0.666666667	0.25	4	1.33333333	5265857138.34
0.666666667	0.3	3.33333333	1.42857143	4325650873.06
0.666666667	0.35	2.85714286	1.53846154	3676800089.67
0.666666667	0.4	2.5	1.66666667	3220782006.47
0.666666667	0.45	2.22222222	1.81818182	2895725034.8
0.666666667	0.5	2	2	2662022661.33
0.666666667	0.55	1.81818182	2.22222222	2494287868.37
0.666666667	0.6	1.66666667	2.5	2376553565.24
0.666666667	0.65	1.53846154	2.85714286	2299455884.34
0.666666667	0.7	1.42857143	3.33333333	2258851047.03
0.666666667	0.75	1.33333333	4	2255800343.54
0.666666667	0.8	1.25	5	2298711685.59
0.666666667	0.85	1.17647059	6.66666667	2411734119.88
0.666666667	0.9	1.11111111	10	2676960564.1
0.666666667	0.95	1.05263158	20	3480755489.96
0.7	0.05	20	1.05263158	20358413600.7
0.7	0.1	10	1.11111111	13843358256.4
0.7	0.15	6.66666667	1.17647059	9905748389.2
0.7	0.2	5	1.25	7431988352.9
0.7	0.25	4	1.33333333	5817357137.17
0.7	0.3	3.33333333	1.42857143	4727610969.83
0.7	0.35	2.85714286	1.53846154	3973147661.7
0.7	0.4	2.5	1.66666667	3440401019.18
0.7	0.45	2.22222222	1.81818182	3058142628.16
0.7	0.5	2	2	2780564912.13
0.7	0.55	1.81818182	2.22222222	2577980467.65
0.7	0.6	1.66666667	2.5	2431318627.77
0.7	0.65	1.53846154	2.85714286	2328839995.12
0.7	0.7	1.42857143	3.33333333	2264377851.66
0.7	0.75	1.33333333	4	2236923077.76
0.7	0.8	1.25	5	2252075261.49
0.7	0.85	1.17647059	6.66666667	2328255313.72
0.7	0.9	1.11111111	10	2526601898.59
0.7	0.95	1.05263158	20	3164798777.34
0.75	0.05	20	1.05263158	24834856669.7
0.75	0.1	10	1.11111111	16777579262.1
0.75	0.15	6.66666667	1.17647059	11892076483.9
0.75	0.2	5	1.25	8816033099.92
0.75	0.25	4	1.33333333	6807575520.72
0.75	0.3	3.33333333	1.42857143	5450955577.03
0.75	0.35	2.85714286	1.53846154	4509332333.15
0.75	0.4	2.5	1.66666667	3841516669.42
0.75	0.45	2.22222222	1.81818182	3359297622.4
0.75	0.5	2	2	3005794596.95
0.75	0.55	1.81818182	2.22222222	2743748575.11
0.75	0.6	1.66666667	2.5	2548699672.24
0.75	0.65	1.53846154	2.85714286	2404871540.31
0.75	0.7	1.42857143	3.33333333	2302794716.83
0.75	0.75	1.33333333	4	2238303786.51
0.75	0.8	1.25	5	2213136116.94
0.75	0.85	1.17647059	6.66666667	2238875555.71
0.75	0.9	1.11111111	10	2354617216.43
0.75	0.95	1.05263158	20	2774602257.71
0.8	0.05	20	1.05263158	30424219014.1
0.8	0.1	10	1.11111111	20436354779.8
0.8	0.15	6.66666667	1.17647059	14365492521.6
0.8	0.2	5	1.25	10536685238.4
0.8	0.25	4	1.33333333	8037306818.26
0.8	0.3	3.33333333	1.42857143	6350029497.76
0.8	0.35	2.85714286	1.53846154	5178240668.57
0.8	0.4	2.5	1.66666667	4345557665.46
0.8	0.45	2.22222222	1.81818182	3742287520.69
0.8	0.5	2	2	3297752843.84
0.8	0.55	1.81818182	2.22222222	2965407304.41
0.8	0.6	1.66666667	2.5	2714282525.79
0.8	0.65	1.53846154	2.85714286	2523830166.88
0.8	0.7	1.42857143	3.33333333	2380820564.54
0.8	0.75	1.33333333	4	2277718915.18
0.8	0.8	1.25	5	2212529961.4
0.8	0.85	1.17647059	6.66666667	2191178093.73
0.8	0.9	1.11111111	10	2238253206.36
0.8	0.95	1.05263158	20	2480775899.42
0.85	0.05	20	1.05263158	37431833738.9
0.85	0.1	10	1.11111111	25017918664
0.85	0.15	6.66666667	1.17647059	17458266903.6
0.85	0.2	5	1.25	12684438033.2
0.85	0.25	4	1.33333333	9569770591.85
0.85	0.3	3.33333333	1.42857143	7469965015.86
0.85	0.35	2.85714286	1.53846154	6012844876.67
0.85	0.4	2.5	1.66666667	4977167285.5
0.85	0.45	2.22222222	1.81818182	4225915590
0.85	0.5	2	2	3671046295.98
0.85	0.55	1.81818182	2.22222222	3254479690.45
0.85	0.6	1.66666667	2.5	2937280263.64
0.85	0.65	1.53846154	2.85714286	2693165792.41
0.85	0.7	1.42857143	3.33333333	2504524567.71
0.85	0.75	1.33333333	4	2360091168.67
0.85	0.8	1.25	5	2254034124.14
0.85	0.85	1.17647059	6.66666667	2187052919.08
0.85	0.9	1.11111111	10	2173041523.12
0.85	0.95	1.05263158	20	2281512589.22
0.9	0.05	20	1.05263158	46254370548.3
0.9	0.1	10	1.11111111	30780219364.3
0.9	0.15	6.66666667	1.17647059	21342672133.9
0.9	0.2	5	1.25	15377326911.2
0.9	0.25	4	1.33333333	11487651904.7
0.9	0.3	3.33333333	1.42857143	8869992511.47
0.9	0.35	2.85714286	1.53846154	7056577425.05
0.9	0.4	2.5	1.66666667	5768947578.07
0.9	0.45	2.22222222	1.81818182	4835206360.08
0.9	0.5	2	2	4145287704.22
0.9	0.55	1.81818182	2.22222222	3626644368.83
0.9	0.6	1.66666667	2.5	3230475810.59
0.9	0.65	1.53846154	2.85714286	2923519408.07
0.9	0.7	1.42857143	3.33333333	2682973576.13
0.9	0.75	1.33333333	4	2493357533.15
0.9	0.8	1.25	5	2344785684.05
0.9	0.85	1.17647059	6.66666667	2232804083.56
0.9	0.9	1.11111111	10	2161869242.14
0.9	0.95	1.05263158	20	2167633278.61
0.95	0.05	20	1.05263158	57409231611.2
0.95	0.1	10	1.11111111	38060283945.1
0.95	0.15	6.66666667	1.17647059	26244031870.3
0.95	0.2	5	1.25	18769933993.5
0.95	0.25	4	1.33333333	13899462502.4
0.95	0.3	3.33333333	1.42857143	10628049798.7
0.95	0.35	2.85714286	1.53846154	8366762108.91
0.95	0.4	2.5	1.66666667	6764082612.36
0.95	0.45	2.22222222	1.81818182	5603464260.74
0.95	0.5	2	2	4746754992.89
0.95	0.55	1.81818182	2.22222222	4103111043.09
0.95	0.6	1.66666667	2.5	3611398013.48
0.95	0.65	1.53846154	2.85714286	3229763571.36
0.95	0.7	1.42857143	3.33333333	2929189138.47
0.95	0.75	1.33333333	4	2689393010.05
0.95	0.8	1.25	5	2496246196.52
0.95	0.85	1.17647059	6.66666667	2340373829.15
0.95	0.9	1.11111111	10	2217506655.46
0.95	0.95	1.05263158	20	2136975552.5
search_seconds	0.145490
best_cauchy_grid	p=0.45	bound=2369056543.98
best_holder_grid	p=0.95	t=0.95	bound=2136975552.5
optimizer_success	True	CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
refined_holder	p=0.999998807881	t=0.999999	r=1.000001	s=999999.999971	bound=2112368965.13
combined_with_fixed_bound	2112368511
note	Refinement searches a bounded interior; no certified global optimality claim.
