j	A	B	C	product
54	-4245	-11036.043009539137	7364.4279744458663	345008740713.87732
55	-3477	4990.4042148443741	-3315.8724004595442	57535809108.115845
56	10343	-1479.9077784487201	4903.7376805626618	-75059973650.537003
57	-3761	-3054.6631729499086	3197.5905884204722	36735801481.66098
58	3911	-6416.2805860426406	6064.2315257961354	-152176270853.20117
59	-2119	-6004.3635198577585	-8335.160668942066	-106050302129.17499
60	21	6357.781358331621	4030.6060467228658	538139951.71930027
61	-829	6040.1394835419733	-1334.9107418696015	6684266028.4668655
62	13481	-3331.9133165829799	-3236.5343705681653	145377108392.39825
63	-3615	-7425.3562136107821	-330.65871057603209	-8875760240.8443737
64	-461	10332.794422501958	6283.4510552865604	-29930705296.357479
65	3761	-1379.1149262740039	-5540.120433335941	28735780526.747158
66	14595	-648.10975396407025	13242.963217861279	-125267332571.93185
67	-9313	-4021.4268364283589	2542.741202772886	95229594531.825974
68	-5569	-2785.172131292692	-7261.9522473497664	-112637407903.78165
69	3121	-927.26633672628554	-5405.3416956232386	15643049337.098612
70	15689	8991.6617023133331	3209.4301655859781	452754892593.1651
71	675	3363.4924767488419	-3610.390457345804	-8196876770.4506855
72	4593	5735.783886041113	-6420.5504344504561	-169145904490.55182
73	-3419	-5826.1046064293887	1349.1946401185371	26875217399.446655
74	-9639	7547.1843168296209	-6453.6633728101633	469486647629.09943
75	-7621	-5601.1864926523422	-6292.99895053608	-268626994947.2576
76	-1097	660.17652502170813	8113.4717021928909	-5875886938.9745855
77	-2225	5243.4138886526516	234.82629110721152	-2739623445.5724645
78	483	-4210.0238267091599	-646.25972017422441	1314131340.1449497
79	765	-3531.4557387134219	2032.8816782408928	-5491959226.5931177
80	-1407	-9502.9434935043664	1710.216892089308	22866696943.436016
81	-2273	3273.0359438071382	20561.00010462854	-152965836386.72162
82	2477	5447.4699409521445	-3091.5102288812859	-41714931701.930756
83	-1301	-6865.4616086885808	10216.966539110696	91257593182.507935
84	-11977	8745.5338193869429	4970.4560770943272	-520631706930.50934
85	401	-12286.762695417963	4654.9965150108792	-22935129848.702454
86	1477	2583.739192325198	-4283.7427141476373	-16347545209.942394
87	6673	8956.7976192341903	166.47440846333703	9949960727.2930374
88	123	6547.1536388250579	-582.43597791512843	-469035633.35932869
89	3155	1804.0888631587879	-9299.7825515596105	-52933435683.516739
90	987	-1816.3078625418827	1849.1168813306674	-3314904178.4256592
91	2337	3250.8595626758915	-7679.3399866052087	-58341933275.86657
92	13773	2464.9475812376822	-8972.2908390002649	-304606788985.96771
93	-5599	-8512.8323932191761	-4749.618871829397	-226382739860.91714
94	-5097	-4106.7067723519967	7044.2435943879855	147449292734.74307
95	4629	-1281.8834092589411	-13763.532040308995	81670573584.152435
96	281	-235.17993110782504	-669.39851830614248	44237576.37471617
97	-7713	2182.4036394463355	3200.9979228821212	-53882011582.755234
98	-10651	-483.03227143441615	5296.8854407694935	27251292920.322556
99	339	5077.2929286254812	-8509.7993577410089	-14647086250.944149
100	-9855	-1301.9198327785796	5322.9964227725477	68296279507.34066
101	-9359	11676.024985298833	-4792.4121445714491	523695235753.20404
102	-391	189.82411648387904	359.54966928034469	-26686218.536556024
103	149	4157.7357563979667	3229.2400941685264	2000522723.8222446
104	-4443	-2615.1378152355874	-5931.205106761302	-68915012071.161819
105	5403	-3482.6476618652341	2166.7498952506039	-40771180944.692406
106	-2501	3214.2354207350945	517.17290562628534	-4157450995.243145
107	-2949	-2422.3729934607336	3691.6794345832259	26371799835.841103
108	2257	-884.28686830996435	-7494.3040674080721	14957397819.062069
109	231	418.52494516942778	-9903.9163735737056	-957503329.21609521
110	-5161	2041.1985069490327	161.30074352940869	-1699242925.044771
111	3487	-10456.414782428858	1946.4595634272844	-70970871082.292297
112	-2985	2989.9604562067843	2163.1333877213856	-19306034623.00087
113	4507	171.71312750350893	-1491.7037058095164	-1154446004.6094999
114	-3437	2287.7855954944171	9152.8299572402157	-71969791979.990219
115	4343	10891.790708233873	-6419.4290920701123	-303658556349.75299
116	-2807	680.124295902173	-5569.9913235736431	10633720000.94475
117	1785	5513.6736386612674	-1691.9049442349472	-16651571866.915768
118	-697	-1334.1162499324435	2715.8601033179393	2525421348.1766286
119	11763	-4731.1046976938987	3586.8642043836107	-199616111317.49084
120	-693	-2147.6659163353324	-4721.1279642897925	-7026608091.585021
121	5069	4712.8145218117361	1215.6326244682912	29040559953.830357
122	3851	2668.320016320421	-3632.4476243156232	-37325943443.862411
123	-6879	-4212.4747427482662	-706.10303515320561	-20461181024.160736
124	6777	-13154.924580026362	-5080.252276140699	452909183955.5163
125	-8349	177.86195858483666	-5768.0566776963742	8565388195.802659
126	-2769	-285.07904892267044	-8527.4875607480481	-6731461272.5012207
127	135	-3275.2950347197284	-1161.4456363988263	513550412.00918609
128	5067	-13424.126847706213	10104.662085294474	-687319627725.27844
129	4947	-2674.3160893958293	-4911.3175540055499	64975953749.641174
130	-3271	-5890.3816395034492	-3894.7538460083279	-75041929588.410095
131	-2643	4219.0937079591213	-4733.3155425572195	52781507719.215225
132	-6219	-5215.0846291603038	-1517.2727982726108	-49209118915.711891
133	979	-7752.3001988987207	-917.68148583884033	6964745375.5250397
134	7793	-4448.1116039428316	4873.5547141947363	-168937552351.01059
135	-3033	-103.75645329899739	-5121.7439895351499	-1611778634.8838406
136	-1503	3743.9271452402108	6930.9874229300885	-39001515269.907753
137	2377	2602.2242349895314	-1485.7624923187689	-9190164591.086977
138	-1397	1304.3615272157629	-5558.8455189536389	10129289690.23044
139	-5075	-1824.3123561574068	-3614.1058961645285	-33460784567.384007
140	-23	-8512.4579337007453	-969.33945607503779	-189783610.89624774
141	2839	3740.5247427723716	3398.8373602339934	36093442653.782242
142	-1491	3450.7827848504849	-3098.6161938728364	15942743265.244896
143	-9301	-873.16600461260828	1806.9560900084086	14674863228.124107
144	-2071	-5014.0081952443697	3428.4526985601442	35601090440.03524
145	-3373	-10402.755132271364	-3210.6828067483539	-112658021386.14743
146	3133	-485.75035382102777	9074.8942037921061	-13810680909.501823
147	2627	1162.1088861429419	2401.4387822134531	7331256506.0853415
148	517	7434.5536845839024	806.74718544504663	3100865319.4604106
149	-4607	-9795.3910697823503	8027.7067575288793	362269266273.82184
150	-11795	-10821.80545462567	3166.864869170734	404228751102.42395
151	5161	-6583.5641606795152	4743.1403734630921	-161161354663.4787
152	-2515	620.38938833280531	-2611.8384599589972	4075197514.4641175
153	4127	-10430.636500479901	-1122.004556960838	48299195896.225632
154	4305	5275.4483663492256	5657.8052045367776	128493311956.71846
155	5629	-255.01148696602644	3352.7809188956999	-4812781758.334281
156	11191	-820.98313670537755	-2049.0144393780174	18825570721.151611
157	5295	10178.272801879093	2910.6713119131637	156867587207.80783
158	-4439	-8148.0702593088427	-185.73490495747916	-6717898504.030983
159	945	1725.5405614517911	-8509.3493539969804	-13875649951.481689
160	2999	-4476.1693602894438	1364.9167279806359	-18322685712.9632
161	11621	-601.52802101051532	-7471.4034639241609	52227778491.311089
162	321	1570.3092957926135	3566.5275959278661	1797777011.4652376
163	5949	427.69351590509069	2077.5159802161461	5285925137.7556162
164	10513	-1358.9890684159207	10170.475341595777	-145306110845.66223
165	1191	-7488.3750229633652	-2576.0915244053649	22975270659.015682
166	-3049	-2438.7414504143799	1345.5842227115725	10005391125.779545
167	-8465	3382.06814771872	-5708.5514163905236	163431299430.38165
168	-27	3705.0184421800477	4780.5320849314567	-478222907.52882099
169	8155	-1407.1520394634142	-6724.0564995196064	77160732855.728683
170	2747	5608.8539993606819	2502.4213091893262	38556111215.058456
171	-995	467.08222660009795	-11903.740723827605	5532225593.5448809
172	4019	2195.4776913285768	11581.370175152808	102189665575.50124
173	-4405	1421.2888692853328	-4608.1894949737916	28850848963.944756
174	-4079	-4229.6823387131672	-5760.7507743045435	-99389508750.033051
175	6731	2475.9793081545504	5884.1682386811344	98064469434.265366
176	10739	-497.10479035886902	-129.98765674486702	693927191.3401165
177	-851	-2208.3197581724426	-371.84808252120553	-698806706.98726785
178	11417	2601.3717874010426	-5567.8059391297529	-165363066346.53979
179	-2263	-733.11485033650774	5798.2758007303064	9619565142.9361439
180	481	287.4173902156129	-5886.8645495673818	-813845865.03233349
181	-7979	5246.6254262136144	269.37351556317009	-11276736146.564268
182	-1	-11.806581017244447	-11728.13539954831	-138469.18077597968
183	1495	1676.6707819541646	-654.33489630007807	-1640170782.347827
184	-3295	358.81556901783159	3952.0859571653964	-4672540556.1837168
185	1473	-7683.966340212447	-822.85598981137332	9313481054.1582584
186	-10559	8205.7815985167181	192.88016959119398	-16712072956.911798
187	95	8208.1498294953853	1705.7936080979064	1330133903.7789991
188	-739	-8137.4430627544089	5057.6255626088632	30414387495.812572
189	11327	-50.763216694868454	-5068.4752842019907	2914347720.5066385
190	-3883	-1342.2538552941339	-2002.8230516160149	-10438657105.401318
191	5181	-4449.9354637215902	-7721.0573359313885	178009869723.98672
192	3049	3259.3092580979883	-560.36280204315221	-5568680393.5399847
193	4931	-7530.0344405473634	4797.8804013293293	-178148177196.39432
194	2001	4584.958750475359	-633.42643064590118	-5811372346.0005674
195	7737	649.54296143597946	310.39004740283423	1559869495.3570814
196	-5289	-4851.7597190810638	-6531.1977446542433	-167596785491.30917
197	-5429	1561.2406526821658	-5026.3227634330005	42602988615.097595
198	-2239	4013.5136779936756	-4564.9938948920362	41022208913.682144
199	7329	-10022.637310924763	7478.5739651727099	-549345447526.92865
200	785	5568.1603772425269	-99.39249808901279	-434445195.17869973
201	-3469	1305.498288167639	-4878.6344222025555	22094230588.243824
202	2473	3022.7501975174582	1683.4604916818396	12584306959.949203
203	-3467	14997.283716556029	5060.0809881344712	-263101859210.4559
204	3007	-13099.223038965187	-960.51366805221994	37834022188.760338
205	1237	10585.935330632046	1795.7445709515976	23514919606.354446
206	-3741	-1565.8409620612267	-2697.8413647094176	-15803444927.857332
207	9141	-11787.503426575187	3329.6288124287148	-358766068877.58002
208	-703	11.600078220025935	2667.3815461716022	-21752109.708505746
209	-1173	2312.911530429602	2035.791870507891	-5523195413.7700386
210	8687	-5913.6669638488193	-2556.4986747029079	131332513611.88643
211	-4067	3795.1253442536336	220.86968093979704	-3409073779.9494429
212	-8369	-6200.3670344788852	-6831.9583447795621	-354516274007.63562
213	-533	-7675.1225913755743	616.06118933810808	2520207965.9939437
214	4105	5565.6076640806305	-6524.1680588472254	-149056489774.03802
215	17	-389.45192816426339	2575.444430090959	-17051200.586040221
216	2711	2412.9722432529088	-96.837965248556358	-633472110.58682835
217	7779	-1126.391742330153	3847.3496567687371	-33711252408.732159
218	3859	5356.2722256081643	-1593.5954845146946	-32939386826.451527
219	-1131	6742.958795679212	500.78516630997132	-3819131102.1064281
220	6143	9520.8172405780115	2079.180260648473	121603727454.98355
221	-3023	8193.9403599694197	-5423.3645142417236	134338266823.95525
222	-3049	-6397.0142988558518	-636.73553043289985	-12419205986.652149
223	-5535	4515.2930506573603	1334.9689867042887	-33363741203.397163
224	-8855	11303.816711789203	1708.4965386758233	-171012468433.00195
225	4203	2761.2313619114002	2978.9458916149733	34572023726.194504
226	14953	10678.328541354158	-2362.8518650020596	-377283756135.72583
227	-2189	3621.7545027545084	-5554.8205017751961	44038731403.64695
228	15113	-3124.9395702456904	-173.65472936897294	8201228670.9774418
229	-67	848.62401609836695	5880.0673972507657	-334327749.44212914
230	511	-745.74206280886187	-7301.0439665173135	2782239445.5951452
231	1487	-723.34640781622488	-1969.636963782267	2118573245.9890366
232	-4577	5055.0292563100438	-1895.0379665183025	43845245003.475166
233	-2921	2446.771201445471	2115.6811840901591	-15120812942.394491
234	-5235	-13468.82957857345	-1388.8640900839944	-97927866513.937347
235	3789	-3886.1294840766441	6241.0915803061825	-91897231421.557785
236	7215	-5145.7074395226218	2917.9111670795319	-108331184600.21704
237	1193	4411.9090186865842	-4161.7409547005891	-21904938384.61665
238	-8831	-3973.5730104296135	-2621.9592302165001	-92006183537.769485
239	-693	-9330.7575496368554	-8922.3809510250103	-57694033379.722282
240	2559	7478.5067480643183	9824.3797273048131	188014054930.57385
241	-9071	-6272.8973192870626	-1152.0267914819603	-65551996698.121002
242	2163	-540.93585475454972	-4795.8405116047988	5611345632.9079428
243	-1641	-3086.9367106895697	-1805.4733334002424	-9145919719.3056583
244	-383	-1445.4110436357071	-2340.9952740676044	-1295957261.7165084
245	-5005	3428.0544876857184	406.67959710678809	-6977569688.6502848
246	3129	-1131.6323473264872	-5152.79250093264	18245407620.182228
247	6437	6882.7278312961398	-8352.5293957136619	-370051456716.76746
248	5805	9437.2864333963407	3187.0233415642588	174596126697.44003
249	-7855	-5807.9244509658229	9135.0352794788851	416751696840.74908
250	421	-6276.6082723977861	912.34339512681231	-2410823704.5717015
251	-3877	8208.7388358417011	-7572.98271563668	241012298893.53546
252	7623	-4570.1879625393076	5314.1881385841489	-185138571117.5784
253	2991	5339.5560757716403	1820.1703185328022	29069234336.433727
254	2879	-7966.589760476777	-5690.4218330567373	130514444910.79907
255	-4159	-720.32948879529022	5031.1962355491969	15072710972.496494
256	14229	-3471.668999138662	4096.5233496871288	-202361609686.86526
257	4373	1268.6301524629528	-116.23513747288278	-644839956.95992053
258	4289	-1354.6708265350046	-1952.0058107747275	11341511319.282412
259	-8673	-2933.9095598874537	11671.340189929031	296986560344.28534
260	8917	387.32740429885803	-2752.1347068555642	-9505318623.6246433
261	1735	-3082.124329958825	918.40701302717298	-4911168380.4029198
262	-4141	247.74476845931991	7961.6492806921769	-8167944261.4190912
263	79	8156.3625619234199	-5452.1936761060069	-3513135402.0315857
264	-12175	-9200.3523523598142	4414.2418345471842	494458164499.44867
265	3423	-1133.2549775997493	-6413.6319228350667	24879323470.478714
266	10039	2024.6011890835473	-3370.0538367561512	-68496247636.922455
267	1545	-1217.6436164525878	-4876.2477270939935	9173486811.9773483
268	-1001	-8936.3704796733255	5354.6093408506085	47898623616.604187
269	-2285	570.14968196866073	-1345.0680148512809	1752343880.5420487
270	-3523	404.1957867207056	1728.4321561912427	-2461255857.9665937
271	-4081	2977.0362402588162	1094.5163374402189	-13297590807.43082
272	3841	-9319.2364877929267	697.74851061211598	-24976038660.273869
273	3727	1628.1857412788916	3987.6824859709432	24198247297.939125
274	-917	7984.2851563374124	-1661.67682285767	12166115559.288496
275	-681	-981.84036326362764	-6848.1772348848981	-4578919257.1392965
276	-3227	-1356.6739733973516	2101.6504638214301	9200998224.5310345
277	2653	-968.11658627648535	5976.2435394277518	-15349463410.973837
278	1095	-2624.8378720663795	-4947.2886521627124	14219484526.973808
279	-711	-2178.3098158497742	-1095.8382175092763	-1697210428.6522651
280	-11153	5005.1315583477253	692.94555895139001	-38681767942.424217
281	3801	4638.4891346220038	-5291.3502217962841	-93291251813.382111
282	-15829	-1604.2226742998162	11934.672539789417	303060012615.70374
283	1643	-3371.8821785128166	4910.2647144975062	-27202878397.702709
284	4985	-584.9828074556616	6776.1918148197683	-19760319222.781342
285	2747	-3605.11494330817	-5536.2973841693683	54827341217.943237
286	-6497	-5743.8777118716525	6804.2990178052069	253922650391.90991
287	-1029	-3297.035637359314	-131.57071221010182	-446373333.47214603
288	-5213	-7120.7519547305883	2221.6962654782519	82470431655.481812
289	-7705	12563.417024421617	-1336.8854522721465	129412020018.24046
290	-1643	2400.1846012629658	-4806.620217431152	18954922688.68589
291	-1409	9304.6166789133567	-88.029802044411596	1154088742.1605175
292	-6083	4973.9336723884198	-3843.4596055666889	116289399295.05643
293	1535	3825.024915331378	-4968.1551337179053	-29170091855.493313
294	3751	396.67965380950051	2186.0235222817118	3252683603.697042
295	-2189	2243.3755628370727	6184.5814382040471	-30370927775.140705
296	-5791	-2912.7473648708801	-97.232500224248568	-1640090587.7070544
297	7121	11533.956555458653	5376.9552207568713	441627101135.93408
298	4985	1929.900556226143	-3955.8854655762707	-38057810818.507057
299	4893	-3863.1194160841387	-3098.9405860548595	58576928938.839516
300	-11343	-1573.1409589732637	-8762.5725846453315	-156360553538.43613
301	815	3598.2214914157412	-9887.4196910647206	-28995357712.034554
302	-4737	550.28992521355713	-457.2188240444558	1191842996.4634917
303	3049	3937.428197870111	4610.4877266923331	55349912897.706985
304	-3519	5784.7258456522623	1625.0788816333936	-33080837407.677639
305	1383	-1005.7386878530561	708.33856255855108	-985254035.60882282
306	-6601	-2515.0767684341172	-189.57533042951115	-3147333758.7572317
307	6879	10595.912069843203	-4923.4320118987243	-358865410185.23914
308	-4215	-5540.1382544160888	-5280.6518312556336	-123312106236.36406
309	5783	-4406.5454561670058	3805.4820791932952	-96975299128.648178
310	-8557	8287.7125918550082	-8178.5584025593125	580006650239.95374
311	-8153	4237.4246961654453	1705.9953750963884	-58938256592.718307
312	2091	-765.89586004461148	2840.5265909880854	-4549069940.3997974
313	-1667	6826.579506889505	-455.23550919550979	5180538230.2700872
314	-5133	-2968.370452008443	-1923.8824717284822	-29313515263.413677
315	5569	-1368.1120142129173	1878.1795466451542	-14309879654.558512
316	8249	-2650.0409702892775	7058.0099285169572	-154289423688.56778
317	793	-5236.4889703884919	2837.8624091921938	-11784325117.735525
318	-2677	-4909.6997360926443	-780.81279491739542	-10262430410.905676
319	-1219	-2790.8961797051643	12033.706357626537	40939901798.355057
320	4239	-3266.0897936528381	-6336.0464066288196	87722275066.895981
321	-4999	2455.1141134563468	10144.305384444584	-124502231175.48499
322	5377	2195.7451648542892	-8209.7561980656392	-96928665126.329559
323	-885	-3324.5300867629594	-6691.9806977688559	-19689206685.246048
324	8585	1864.9196029326329	-7496.6055424369924	-120023164531.8067
325	-2141	925.79199563959207	-4131.7487171846014	8189624505.268589
326	3309	1161.4306518295823	-2430.803301490806	-9342000112.8021736
327	10223	6620.7903666925458	-2533.6240244541823	-171486669697.33621
328	-1005	915.07902452198869	-2505.7580076370241	2304431426.2832332
329	-6599	5113.2194981703915	-10637.142310703317	358919896844.6817
330	-6345	7338.5109676360144	7843.8783396332647	-365233346937.55713
331	-4689	1309.2520943295028	6150.0123977473022	-37755436993.213463
332	-1147	-461.69099618135306	-5405.2581194414734	-2862406179.6322765
333	-899	100.41308128980235	-1318.7937984243974	119049309.84822294
334	-12977	-13988.980522268672	-1440.7871297472523	-261553291940.82635
335	-1243	8579.5530254904606	-294.39538615254901	3139545566.6627293
336	1355	589.32266696316947	2314.6327986995975	1848308852.7294474
337	-177	2160.0418643700132	9001.4942457942561	-3441517981.0658426
338	-823	389.91412273485696	1899.3773708193592	-609508912.43794131
339	-1657	-8069.3599885911053	-4764.174131599174	-63701436444.555244
340	-8101	6402.132009636417	-1492.7612437120063	77420078637.558884
341	-7951	1804.1106281380037	3471.4199151900457	-49795726057.171814
342	-7735	-6603.7392238679558	6626.784480153382	338495640298.74377
343	1487	8256.5967662271869	524.89148267162	6444386352.5302305
344	1153	-946.03128293419604	-874.99181049360323	954418377.6690197
345	-51	3726.154397980431	-59.233633290712682	11256396.822922006
346	5895	-6342.0190262706647	-3744.4415341089298	139990448169.99359
347	6627	-4349.5881933818646	711.14403946359789	-20498528498.157173
348	-9061	-12178.787116484842	-3228.8333409048628	-356308184748.90253
349	2125	-1865.528491878161	-793.7912989252834	3146785605.0939422
350	6933	-2297.6562506864921	-7049.0585242703373	112289040661.76959
351	-1995	-8232.0505547173889	2169.0095197297305	35621515060.056458
352	1689	-7541.5989614817381	-65.782704213628875	837924340.91604805
353	351	3219.0860528921712	7064.3524380222907	7982006200.4892788
354	-1167	-3439.7630059066396	-950.99080374343032	-3817470544.2816434
355	-4113	5997.2458816580465	-7641.8414349212371	188498798529.80759
356	-1881	-3635.3532966139255	4138.3430293849478	28298401610.834793
357	-35	6376.5250903691458	-3203.2664453665348	714899810.10060537
358	3635	7265.9286644110625	2463.7934551765147	65072852123.079918
359	-3487	4004.4404463351193	818.41892119377599	-11427979377.469124
360	105	5863.3574364258648	360.10204353986143	221697734.4604677
361	8691	-5461.5995967616082	2433.3799000580057	-115504664803.91576
362	5721	2724.3814275668819	3870.8747120145463	60332173813.600044
363	-1371	6486.0533306091593	-702.02916238230137	6242709462.5774975
364	-3783	-7015.5055567003174	-354.91850150136287	-9419415477.7117367
365	-793	-5723.6796666550899	-4884.2731615242656	-22169119879.93745
366	6007	-1835.5871692482694	4597.5437836329284	-50694228622.417526
367	5929	1754.5683819522708	5749.0436541520749	59806357926.466721
368	6411	6856.5055545501718	12746.235774096765	560287013862.31543
369	-965	-3361.1984992519847	5232.4950871425926	16971893722.048418
370	1157	5685.5149644502717	-6238.3236322418661	-41036571295.373505
371	-5641	-9520.335106882123	-1248.1213453733287	-67029371259.179512
372	-4803	4782.2263136853353	-4077.1408675016796	93647983068.631775
373	-8071	128.45046980365419	-2077.0758431297836	2153353840.0613513
374	8407	-668.59083230928331	2320.4268748360873	-13042755451.648623
375	-5505	-3424.6815301988609	-495.87920927560293	-9348747172.5328312
376	7961	-90.358435867819693	-5160.6551812057323	3712283801.3364267
377	4479	-9908.6940959044696	10537.591283342574	-467669269265.17883
378	73	-3554.0912641733385	3241.4681145787745	-840994566.16582167
379	-8391	-3514.6573289925236	-4567.1251776301879	-134691324895.26559
380	6525	-3656.7561659996481	3516.7971266651493	-83911953993.204666
381	3271	3432.1850164036423	7502.5260491968556	84228438053.818115
382	1067	3418.383426176536	2349.176022749305	8568420134.8871527
383	-3483	-4660.6137956948287	-1983.5423294462857	-32198679686.702702
384	4097	6159.5846139063733	4627.1719435326095	116770469776.73128
385	-5577	2248.9074898257822	-5727.8451206055497	71839533179.611816
386	-2297	-1021.9528284593162	5674.9907534818385	13321618841.046827
387	807	-897.67014395060778	760.38742253032569	-550839709.24211049
388	-2043	-8074.6465079648633	2680.7476786623429	44222961629.428169
389	-2175	2871.9839573689896	2359.9554941099659	-14741615644.23527
390	541	5541.2850574554477	-21.458926620989168	-64330325.923750825
391	-2249	362.03558786398895	-3829.9522117026245	3118416172.0227199
392	-539	2935.1863881620802	1403.6863256399863	-2220723656.988308
393	-1605	1119.7772117005316	-1194.5374844918026	2146873445.1178763
394	-159	-3584.0078090981169	-6919.1582878909549	-3942932456.4537549
395	-12251	1335.9347796933955	6072.1456392308255	-99379996188.99437
396	-1069	8323.1658980010725	-6142.528456230576	54652927927.23307
397	2785	3788.4410503666268	-5430.5509372155166	-57296702039.182007
398	3549	47.180563480448832	1678.2288373382182	281009047.00918782
399	2653	840.76639082669499	8353.4135156866196	18632733539.564945
400	-2181	-1418.7648916444798	2911.1604059406927	9008079999.9871349
401	1217	-3336.340082532286	1961.7334006204621	-7965276897.066349
402	-6889	-3029.9477802652827	-1484.7258299703788	-30991142897.405788
403	-4979	2071.3713744831807	-11267.695535597408	116207778722.37662
404	-1653	2291.2066804525975	-5649.0307043579769	21394939155.710007
405	-815	-2172.9020523254185	5653.7111971502245	10012242940.787481
406	-6783	1002.8987615450719	3132.9603405681155	-21312471194.800076
407	1679	1277.3997501506099	2262.0142843859749	4851464592.7940359
408	1437	-10676.657003454749	7978.4355325351362	-122407999172.46187
409	-7291	4918.7126503434238	4577.0883538064109	-164145070988.04373
410	9491	4527.6972356310516	581.22370702101966	24976562785.097816
411	9657	-4687.7367730872984	4401.5864585071695	-199257503820.06824
412	-3723	7671.2261531538816	-4467.8136846204152	127600646995.30428
413	-5017	3485.4424228980688	-7759.7334234072887	135690304090.71263
414	-9093	4656.1107686262358	-12098.51250133087	512227006410.04016
415	13751	8512.8370429030347	-12759.108698540962	-1493581547209.4436
416	-3941	-759.36354633523092	5724.4855172614689	17131391521.552742
417	-43	2269.738006376454	15742.095975271955	-1536408642.0093243
418	1679	-2138.6771285774175	1598.4421705314473	-5739748323.5568714
419	2885	7817.8722773946547	7780.2009840254186	175479021734.37216
420	-3261	2195.2932792131396	-3547.9520709587823	25399261591.824814
421	-1223	-924.38503778555469	-249.43482590749011	-281991783.04817939
422	8329	-4192.7951158803307	4532.5869048429731	-158286050405.37967
423	5867	7549.8033372915133	4931.1963572520808	218425844447.85782
424	495	3791.9361338247018	12809.358137960693	24043272647.345154
425	-8339	2220.2735863998141	7167.4312922417821	-132703997234.98878
426	-3213	-3212.1999224035826	6846.0262854136263	70656456795.227448
427	2279	-3599.2354896202469	1619.2647185584858	-13282274181.004339
428	5747	-3821.8654369049773	278.32027410416225	-6113099049.0265818
429	1401	1104.2032509291805	-8966.9039321530054	-13871699546.186853
